county,areacode,village,number,name,address,administration,latitude,longitude,grade,type2,type,exec,diaper
10021,1002104,元美里,D340000461,府北戶政事務所北區辦公處1F無障礙廁,臺南市北　區元美里海安路三段789號,府北戶政事務所北區辦公處,23.01366424,120.20008623,不合格,民眾洽公場所,無障礙廁所,府北戶政事務所北區辦公處,0
10001,1000106,中山里,F060001305,十四張歷史公園無障礙,新北市新店區中山里央北二路206巷2號,新北市新店區公所,24.97969355,121.52763918,不合格,公園,未設定,新北市新店區公所經建課,0
10021,1001128,武東里,D280000431,"Mitsui Outlet Park台南3F F區女客廁",臺南市歸仁區武東村歸仁大道101號,台灣三井不動產商業管理股份有限公司,22.92518300,120.28713300,不合格,商業營業場所,女廁所,MitsuiOutletPark台南物業管理中心,0
10021,1001128,武東里,D280000424,"Mitsui Outlet Park台南1F F區男客廁",臺南市歸仁區武東村歸仁大道101號,台灣三井不動產商業管理股份有限公司,22.92518300,120.28713300,不合格,商業營業場所,男廁所,MitsuiOutletPark台南物業管理中心,0
10001,1000108,東鶯里,F080000755,新北市美術館4F女廁,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293100,121.35782300,不合格,文化育樂活動場所,女廁所,新北市美術館,0
10001,1000108,東鶯里,F080000746,新北市美術館B3男廁,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293100,121.35782300,不合格,文化育樂活動場所,男廁所,新北市美術館,0
10001,1000108,東鶯里,F080000739,新北市美術館8F男廁,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293100,121.35782300,不合格,文化育樂活動場所,男廁所,新北立美術館,0
10001,1000108,東鶯里,F080000737,新北市美術館B3女廁,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293000,121.35782300,不合格,文化育樂活動場所,女廁所,新北立美術館,0
10021,1002104,元美里,D340000455,北區區公所2F無障礙廁,臺南市北　區元美里海安路三段789號,北區區公所,23.01374966,120.20009730,不合格,民眾洽公場所,無障礙廁所,北區區公所,0
10003,1000301,汴洲里,H010001556,桃園區長榮加油站無障礙廁所,桃園市桃園區汴洲里經國路899號,長榮加油站,25.03241490,121.29991040,特優級,商業營業場所,無障礙廁所,長榮加油站,0
09020,0902004,古寧村,W040000052,慈湖三角堡女廁,金門縣金寧鄉古寧村慈湖路三段,內政部國家公園署,24.46527810,118.29733639,不合格,觀光地區及風景區,女廁所,金門國家公園管理處西區管理站,0
10021,1001128,武東里,D280000432,"Mitsui Outlet Park台南3F F區無障礙客廁",臺南市歸仁區武東村歸仁大道101號,台灣三井不動產商業管理股份有限公司,22.92518300,120.28713300,不合格,商業營業場所,無障礙廁所,MitsuiOutletPark台南物業管理中心,0
10021,1001128,武東里,D280000425,"Mitsui Outlet Park台南1F F區女客廁",臺南市歸仁區武東村歸仁大道101號,台灣三井不動產商業管理股份有限公司,22.92518300,120.28713300,不合格,商業營業場所,女廁所,MitsuiOutletPark台南物業管理中心,0
10001,1000108,東鶯里,F080000740,新北市美術館8F無障礙廁所,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293100,121.35782300,不合格,文化育樂活動場所,無障礙廁所,新北市美術館,1
10001,1000108,東鶯里,F080000738,新北市美術館8F女廁,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293100,121.35782300,不合格,文化育樂活動場所,女廁所,新北市美術館,0
10005,1000501,玉苗里,K010000318,苗栗縣城隍廟-男廁,苗栗縣苗栗市玉苗里米市街34號,苗栗市公所,24.55515000,120.81766000,不合格,商業營業場所,男廁所,苗栗縣苗栗市公有零售市場,0
10005,1000505,田寮里,K050000268,頭份田寮永貞宮-無障礙廁,苗栗縣頭份市田寮里永貞路一段206號,頭份田寮永貞宮,24.67971000,120.88523000,不合格,宗教禮儀場所,無障礙廁所,頭份田寮永貞宮,1
10001,1000110,新生里,F100000704,新北市立圖書館淡水分館4F-男廁,新北市淡水區新生里文化路65號,新北市政府文化局,25.17283351,121.43787012,不合格,文化育樂活動場所,男廁所,新北市立圖書館淡水分館,0
10001,1000106,中山里,F060001303,十四張歷史公園混和廁,新北市新店區中山里央北二路206巷2號,新北市新店區公所,24.97967694,121.52760029,不合格,公園,混合廁所,新北市新店區公所經建課,0
10021,1001128,武東里,D280000426,"Mitsui Outlet Park台南1F F區無障礙客廁",臺南市歸仁區武東村歸仁大道101號,台灣三井不動產商業管理股份有限公司,22.92518300,120.28713300,不合格,商業營業場所,無障礙廁所,MitsuiOutletPark台南物業管理中心,0
10001,1000108,東鶯里,F080000753,新北市美術館3F男廁,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293100,121.35782300,不合格,文化育樂活動場所,男廁所,新北市美術館,0
10001,1000108,東鶯里,F080000748,新北市美術館1F女廁,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293100,121.35782300,不合格,文化育樂活動場所,女廁所,新北市美術館,0
10001,1000108,東鶯里,F080000741,新北市美術館B1女廁,新北市鶯歌區東鶯里館前路300號,縣市政府,24.95293100,121.35782300,不合格,文化育樂活動場所,女廁所,新北市美術館,0
10005,1000505,田寮里,K050000267,頭份田寮永貞宮-親子廁,苗栗縣頭份市田寮里永貞路一段206號,頭份田寮永貞宮,24.67971000,120.88523000,不合格,宗教禮儀場所,親子廁所,頭份田寮永貞宮,0
10021,1002104,元美里,D340000457,北區區公所3F女廁,臺南市北　區元美里海安路三段789號,北區區公所,23.01374966,120.20009730,不合格,民眾洽公場所,女廁所,北區區公所,0
64000,1001223,月眉里,E340000074,台灣中油股份有限公司(杉林站)-無障礙廁,高雄市杉林區月眉村清水路304號,台灣中油股份有限公司,22.96999612,120.53819984,特優級,商業營業場所,無障礙廁所,台灣中油股份有限公司-杉林站,0
10019,1000601,社皮里,B090000761,豐原國民暨兒童運動中心(泳池A)1F-無障礙,臺中市豐原區社皮里豐裕路8號,臺中市政府運動局,24.24816983,120.70516309,特優級,文化育樂活動場所,無障礙廁所,臺中市政府運動局,1
10019,1000602,泰昌里,B100000258,臺中市立圖書館(東勢許良宇圖書館)1F-親子廁,臺中市東勢區泰昌里圓樓街88號,臺中市政府文化局,24.25022863,120.83476757,特優級,文化育樂活動場所,親子廁所,臺中市立圖書館(東勢許良宇圖書館),0
